Name;Price;Link;Image;Availability;Source
Lotiune intensiva pentru dermatita seboreica Tioderm DS, 50...;60,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/lotiune-intensiva-pentru-dermatita-seboreica-tioderm-ds-50-ml-braderm-p390636;https://media.farmaciatei.ro/gallery/121649/lotiune-intensiva-pentru-dermatita-seboreica-tioderm-ds-50-ml-braderm-5477.jpg;true;Farmacia Tei
Sampon ultra calmant pentru par gras si normal Dercos Ultra...;68,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-ultra-calmant-pentru-par-gras-si-normal-dercos-ultra-soothing-200-ml-vichy-p330721;https://media.farmaciatei.ro/gallery/9533/sampon-ultra-calmant-pentru-par-gras-si-normal-dercos-ultra-soothing-200-ml-vichy-85.png;true;Farmacia Tei
Sampon seboreglator Defence Hair, 200 ml, BioNike;40,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-seboreglator-defence-hair-200-ml-bionike-p373280;https://media.farmaciatei.ro/gallery/79946/sampon-seboreglator-defence-hair-8029041163316-200-ml-bionike-2798.jpg;true;Farmacia Tei
Crema de normalizare cu ciclopiroxoamina si enoxolone pentru...;75,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/fata/ten-sensibil/crema-de-normalizare-cu-ciclopiroxoamina-si-enoxolone-pentru-dermatita-seboreica-triderm-d-s-50-ml-bionike-p371060;https://media.farmaciatei.ro/gallery/74968/crema-de-normalizare-cu-ciclopiroxoamina-si-enoxolone-pentru-dermatita-seboreica-triderm-d-s-50-ml-bionike-1737.png;true;Farmacia Tei
Sampon uscat purifiant spray Defence Hair, 150 ml, BioNike;40,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/par-gras/sampon-uscat-purifiant-spray-defence-hair-150-ml-bionike-p373289;https://media.farmaciatei.ro/gallery/79969/sampon-uscat-purifiant-spray-defence-hair-150-ml-bionike-1330.jpg;true;Farmacia Tei
Sampon intesiv pentru dermatita seboreica, cu ciclopiroxolamina...;65,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/fata/ten-sensibil/sampon-intesiv-pentru-dermatita-seboreica-cu-ciclopiroxolamina-si-acid-succinic-triderm-d-s-125-ml-bionike-p371058;https://media.farmaciatei.ro/gallery/74964/sampon-intesiv-pentru-dermatita-seboreica-cu-ciclopiroxolamina-si-acid-succinic-triderm-d-s-125-ml-bionike-9179.png;true;Farmacia Tei
Ser intensiv antimatreata pentru scalp iritat cu scuame Ivadermaseb,...;74,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/ser-intensiv-antimatreata-pentru-scalp-iritat-cu-scuame-ivadermaseb-50-ml-ivatherm-p375471;https://media.farmaciatei.ro/gallery/85635/ser-intensiv-antimatreata-pentru-scalp-iritat-cu-scuame-ivadermaseb-50-ml-ivatherm-4901.png;true;Farmacia Tei
Sampon tratament Keto-Reductor DS, 150 ml, Uriage;67,00 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-tratament-keto-reductor-ds-150-ml-uriage-p340159;https://media.farmaciatei.ro/gallery/62419/sampon-tratament-keto-reductor-ds-150-ml-uriage-2473.png;true;Farmacia Tei
Sampon delicat purifiant Scalp Rebalance Purifyng Low, 250 ml,...;56,00 LEI;https://comenzi.farmaciatei.ro/ingrijire-personala/ingrijire-par/antimatreata/sampon-delicat-purifiant-scalp-rebalance-purifyng-low-250-ml-alfaparf-p357771;https://media.farmaciatei.ro/gallery/37599/sampon-antimatreata-scalp-rebalance-purifyng-low-250-ml-alfaparf-1088.jpg;true;Farmacia Tei
Sampon tratament anti-matreata grasa Squanorm, 200 ml, Ducray;73,50 LEI;https://comenzi.farmaciatei.ro/dermato-cosmetice/par/matreata/sampon-tratament-anti-matreata-grasa-squanorm-200-ml-ducray-p305601;https://media.farmaciatei.ro/gallery/10064/sampon-tratament-anti-matreata-grasa-squanorm-200-ml-ducray-459.png;true;Farmacia Tei
